"city_name","type","county","pop_2020","pop_2010","area_mi2","county_seat","incorporation_date","google_lat","google_lng"
"Loyalton","City","Sierra",740,769,0.36,FALSE,"July 21, 1901",39.6762936,-120.2410385
"Lynwood","City","Los Angeles",67265,69772,4.84,FALSE,"July 21, 1921",33.930293,-118.2114603
"Madera","City","Madera",66224,61416,16.48,TRUE,"March 27, 1907",36.9613356,-120.0607176
"Malibu","City","Los Angeles",10654,12645,19.85,FALSE,"March 28, 1991",34.0380585,-118.6923438
"Mammoth Lakes","Town","Mono",7191,8234,24.87,FALSE,"August 20, 1984",37.648546,-118.972079
"Manhattan Beach","City","Los Angeles",35506,35135,3.93,FALSE,"December 12, 1912",33.8881489,-118.4092903
"Manteca","City","San Joaquin",83498,67096,21.39,FALSE,"June 5, 1918",37.7974273,-121.2160526
"Maricopa","City","Kern",1026,1154,1.57,FALSE,"July 25, 1911",35.058858,-119.4009509
"Marina","City","Monterey",22359,19718,8.91,FALSE,"November 13, 1975",36.6844029,-121.802173
"Martinez","City","Contra Costa",37287,35824,12.63,TRUE,"April 1, 1876",38.0193657,-122.1341321
"Marysville","City","Yuba",12844,12072,3.46,TRUE,"February 5, 1851",39.1457253,-121.5913547
"Maywood","City","Los Angeles",25138,27395,1.17,FALSE,"September 2, 1924",33.9866807,-118.185349
"McFarland","City","Kern",14161,12707,2.68,FALSE,"July 18, 1957",35.6780104,-119.2292748
"Mendota","City","Fresno",12595,11014,3.39,FALSE,"June 17, 1942",36.7535611,-120.3815574
"Menifee","City","Riverside",102527,77519,46.48,FALSE,"October 1, 2008",33.6971468,-117.185294
"Menlo Park","City","San Mateo",33780,32026,9.99,FALSE,"November 23, 1927",37.4529598,-122.1817252
"Merced","City","Merced",86333,78958,23.25,TRUE,"April 1, 1889",37.302947,-120.484268
"Mill Valley","City","Marin",14231,13903,4.78,FALSE,"September 1, 1900",37.9003469,-122.5286567
"Millbrae","City","San Mateo",23216,21532,3.27,FALSE,"January 14, 1948",37.5985468,-122.3871942
"Milpitas","City","Santa Clara",80273,66790,13.48,FALSE,"January 26, 1954",37.4323341,-121.8995741
"Mission Viejo","City","Orange",93653,93305,17.66,FALSE,"March 31, 1988",33.5968913,-117.6581562
"Modesto","City","Stanislaus",218464,201165,43.05,TRUE,"August 6, 1884",37.6392595,-120.9970014
"Monrovia","City","Los Angeles",37931,36590,13.63,FALSE,"December 15, 1887",34.1442616,-118.0019482
"Montague","City","Siskiyou",1226,1443,1.78,FALSE,"January 28, 1909",41.7281985,-122.5278007
